function,n,gradient_approach,k,optimizer,lr,loss
rosenbrock,512,frog,16.0,"FG(k=16,agg=orthogonal_projection,normalize=False,sampler=normal)",0.0076908912323750845,474.21343994140625
rosenbrock,1024,bp,,Backpropagation,0.001035797777005371,865.8627319335938
rosenbrock,1024,fg-mean,1.0,"FG(k=1,agg=mean,normalize=False,sampler=normal)",5.126762625248304e-06,1013.3513793945312
rosenbrock,1024,fg-mean,2.0,"FG(k=2,agg=mean,normalize=False,sampler=normal)",1.8218715119176028e-05,1013.3211669921875
rosenbrock,1024,fg-mean,4.0,"FG(k=4,agg=mean,normalize=False,sampler=normal)",2.5340997206160334e-05,1013.1787109375
rosenbrock,1024,fg-mean,16.0,"FG(k=16,agg=mean,normalize=False,sampler=normal)",0.00014402708862926392,996.4672241210938
rosenbrock,1024,frog,2.0,"FG(k=2,agg=orthogonal_projection,normalize=False,sampler=normal)",0.009499549280165142,1013.2742919921875
rosenbrock,1024,frog,4.0,"FG(k=4,agg=orthogonal_projection,normalize=False,sampler=normal)",0.00984090098507325,1012.6409912109375
rosenbrock,1024,frog,16.0,"FG(k=16,agg=orthogonal_projection,normalize=False,sampler=normal)",0.00820326034661941,1000.0905151367188
styblinski-tang,1,bp,,Backpropagation,0.05399332921854338,-39.16617202758789
styblinski-tang,1,fg-mean,1.0,"FG(k=1,agg=mean,normalize=False,sampler=normal)",0.012337679250876914,-39.166168212890625
styblinski-tang,1,fg-mean,2.0,"FG(k=2,agg=mean,normalize=False,sampler=normal)",0.02061135736757477,-39.166168212890625
styblinski-tang,1,fg-mean,4.0,"FG(k=4,agg=mean,normalize=False,sampler=normal)",0.020499974196810048,-39.166168212890625
styblinski-tang,1,fg-mean,16.0,"FG(k=16,agg=mean,normalize=False,sampler=normal)",0.0238675130814336,-39.166168212890625
styblinski-tang,1,frog,2.0,"FG(k=2,agg=orthogonal_projection,normalize=False,sampler=normal)",0.021149511817293576,-39.166168212890625
styblinski-tang,1,frog,4.0,"FG(k=4,agg=orthogonal_projection,normalize=False,sampler=normal)",0.02109668180547688,-39.166168212890625
styblinski-tang,1,frog,16.0,"FG(k=16,agg=orthogonal_projection,normalize=False,sampler=normal)",0.02044808018440948,-39.166168212890625
styblinski-tang,2,bp,,Backpropagation,0.05399332921854338,-78.33234405517578
styblinski-tang,2,fg-mean,1.0,"FG(k=1,agg=mean,normalize=False,sampler=normal)",0.005199867084480653,-78.33233642578125
styblinski-tang,2,fg-mean,2.0,"FG(k=2,agg=mean,normalize=False,sampler=normal)",0.014292387761557475,-78.33233642578125
styblinski-tang,2,fg-mean,4.0,"FG(k=4,agg=mean,normalize=False,sampler=normal)",0.01563326847887787,-78.33233642578125
